iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
NG;Nigeria;EN;0;Country;Nigeria;-;-;-;-;;;;;
NG;Nigeria;EN;1;Federal Capital Territory;Abuja (FCT);Abuja (FCT);-;-;-;NG-FC;NI11;;NG.FC;FC
NG;Nigeria;EN;1;States;Abia;Abia;-;-;-;NG-AB;NI45;;NG.AB;AB
NG;Nigeria;EN;1;States;Adamawa;Adamawa;-;-;-;NG-AD;NI35;;NG.AD;AD
NG;Nigeria;EN;1;States;Akwa Ibom;Akwa Ibom;-;-;-;NG-AK;NI21;;NG.AK;AK
NG;Nigeria;EN;1;States;Anambra;Anambra;-;-;-;NG-AN;NI25;;NG.AN;AN
NG;Nigeria;EN;1;States;Bauchi;Bauchi;-;-;-;NG-BA;NI46;;NG.BA;BA
NG;Nigeria;EN;1;States;Bayelsa;Bayelsa;-;-;-;NG-BY;NI52;;NG.BY;BY
NG;Nigeria;EN;1;States;Benue;Benue;-;-;-;NG-BE;NI26;;NG.BE;BN
NG;Nigeria;EN;1;States;Borno;Borno;-;-;-;NG-BO;NI27;;NG.BO;BR
NG;Nigeria;EN;1;States;Cross River;Cross River;-;-;-;NG-CR;NI22;;NG.CR;CR
NG;Nigeria;EN;1;States;Delta;Delta;-;-;-;NG-DE;NI36;;NG.DE;DL
NG;Nigeria;EN;1;States;Ebonyi;Ebonyi;-;-;-;NG-EB;NI53;;NG.EB;EB
NG;Nigeria;EN;1;States;Edo;Edo;-;-;-;NG-ED;NI37;;NG.ED;ED
NG;Nigeria;EN;1;States;Ekiti;Ekiti;-;-;-;NG-EK;NI54;;NG.EK;EK
NG;Nigeria;EN;1;States;Enugu;Enugu;-;-;-;NG-EN;NI47;;NG.EN;EN
NG;Nigeria;EN;1;States;Gombe;Gombe;-;-;-;NG-GO;NI55;;NG.GO;GM
NG;Nigeria;EN;1;States;Imo;Imo;-;-;-;NG-IM;NI28;;NG.IM;IM
NG;Nigeria;EN;1;States;Jigawa;Jigawa;-;-;-;NG-JI;NI39;;NG.JI;JG
NG;Nigeria;EN;1;States;Kaduna;Kaduna;-;-;-;NG-KD;NI23;;NG.KD;KD
NG;Nigeria;EN;1;States;Kano;Kano;-;-;-;NG-KN;NI29;;NG.KN;KN
NG;Nigeria;EN;1;States;Katsina;Katsina;-;-;-;NG-KT;NI24;;NG.KT;KT
NG;Nigeria;EN;1;States;Kebbi;Kebbi;-;-;-;NG-KE;NI40;;NG.KE;KB
NG;Nigeria;EN;1;States;Kogi;Kogi;-;-;-;NG-KO;NI41;;NG.KO;KG
NG;Nigeria;EN;1;States;Kwara;Kwara;-;-;-;NG-KW;NI30;;NG.KW;KW
NG;Nigeria;EN;1;States;Lagos;Lagos;-;-;-;NG-LA;NI05;;NG.LA;LG
NG;Nigeria;EN;1;States;Nasarawa;Nasarawa;-;-;-;NG-NA;NI56;;NG.NA;NS
NG;Nigeria;EN;1;States;Niger;Niger;-;-;-;NG-NI;NI31;;NG.NI;NG
NG;Nigeria;EN;1;States;Ogun;Ogun;-;-;-;NG-OG;NI16;;NG.OG;OG
NG;Nigeria;EN;1;States;Ondo;Ondo;-;-;-;NG-ON;NI48;;NG.ON;ON
